"","product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"1067","B074J6F41V","which was James Comey reading it aloud himself I recommend it highlyAwesome read","sherryb",2018-06-16,1,"Format: Kindle Edition",5,"I thought it was a great thoughtful very informative book I listen to it I recommend it highly",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGKDZVTQ6RRIDLOZLDFXZD4MQLBQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGKDZVTQ6RRIDLOZLDFXZD4MQLBQ"
"1068","B074J6F41V","#humility","Gisela Hausmann",2018-06-16,0,"Format: Kindle Edition",5,"Watching James Comey on TV I knew that he likes to reflect on things and ponder philosophy..What I did not know is that Comey can write about the Mafia and politics in an EXTREMELY entertaining way.“It was like having Thanksgiving dinner with a family eating together by court order.”Comey starts out the book by explaining why he wanted to serve, work for law enforcement and legal professions. As a youngster his home was broken in; he and his brother were taken hostage. That’s quite a reason. Wow.He develops an interest in looking for leadership and justice in high and in lower places. An early mentor is a man named Harry Howell who runs a grocery store where Comey works.Comey explains his role in well known trials (e.g. Martha Stewart, Scooter Libby) and how it felt working with well known public figures (Rudy Giuliani, who did not want anybody between a camera and him, John Ashcroft  who wanted Comey to be “attentive to his language” when he used the word ‘turd’, George W. Bush and Dick Cheney, Alberto Gonzalez).Yes, Comey’s book is interesting and in parts very funny, but what impressed me the most was that never mind what anybody else says, I feel that Comey cares – about the FBI as an institution, the people who work for it, and the FBI’s role as an impartial institution. Comey also gives credit where credit is due to people who see things as he does. He is impressed with President Obama because he listens and he cares. In contrast, president Trump does not understand the role of the FBI and does not seem wanting to understand it.The most impressive sentence and concept thought: [quoted] “... That humility makes a whole lot of things possible, none more important than a single, humble question: “What am I missing?” Good leaders constantly worry about...”To grasp how significant this sentence is one only has to turn on the TV. And, I’ll leave it at that.*And, yes, there are Hillary Clinton’s emails. What a pain. Honestly, I admire anybody who deals with this and comes out well. I don’t believe that she did anything wrong but clearly Clinton doesn’t any anything about this technical stuff and she would have been well advised to get informed in 2015 when she decided to run for office. I was sorry that Comey got fired before the digging into the various FB issues started because I believe that’s the source of the real problems. Would have loved to hear his opinion about these issues. Reading about Comey getting fired was as painful as if I had gotten fired. It reminded me of the ‘Sex and the City’ episode where one of the girls’ relationship ends with a posted sticky note. No class.I borrowed the book from the library but I’ll buy it. It contains important lessons about leadership.5 stars,Gisela Hausmann, author & blogger",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEIS5POITKY7YOWK3AHIGFHVQTQA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEIS5POITKY7YOWK3AHIGFHVQTQA"
"1069","B074J6F41V","Self Love","Jennie Graham",2018-06-16,0,"Format: Kindle Edition",1,"Never has anything with so little substance been piled so high.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQOKUORTBFSEMX6U2JOOIVVP2LA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQOKUORTBFSEMX6U2JOOIVVP2LA"
"1070","B074J6F41V","Honor and Law First.","M. A. Meredith",2018-06-16,1,"Format: Kindle Edition",4,"A well written story of putting honor and morals up against unbridled power and corruption.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGB3JDUOXPYFTBPYQQRE6E4HF6MA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGB3JDUOXPYFTBPYQQRE6E4HF6MA"
"1071","B074J6F41V","Five Stars","outrageousg",2018-06-16,1,"Format: Kindle Edition",5,"When I have finished this book I will come back to revisit my post.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGQSGCLWJJ6EF3BSS3D3CS4ZXAHQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGQSGCLWJJ6EF3BSS3D3CS4ZXAHQ"
"1072","B074J6F41V","Account of an almost painfully straight-arrow public servant","Orange Newt",2018-06-16,0,"Format: Hardcover",5,"If nothing else, one comes away from this book with the impression that James Comey is a straight arrow of a breed rarely represented in government today.  As I write this, the FBI has released its report severely criticizing Comey for departing from Bureau protocols in making his public statements about the Clinton email investigation, but from his own account here, it's understandable -- at least about 95% understandable -- how he thought he was doing the right thing.  (One might suggest that if he were not so determined to do the right thing, events might have come out differently?)  The book actually covers his whole career, and is interesting throughout, as he tells about dealing with mafiosi kingpins and hit men, and explains why Martha Stewart was prosecuted (another book I read recently dismisses that case as a misuse of governmental resources, but Comey convincingly refutes that -- Stewart participated in insider trading and then lied about it to investigators; was she supposed to get a pass because she's rich and famous?).  In about the last quarter of the book Comey covers the 2016 elections and his dealings with the Trump administration.  He actually believes the Trump presidency may have a long term beneficial effect on the nation -- is this guy a cockeyed optimist, or what?  But regardless of his opinions and interpretations, the simple facts Comey sets out here are noteworthy and significant.Addendum:  And not long after I wrote this, it came out that while Comey was investigating, and making pronouncements about, Clinton, he himself was using a private email server ... I don't even know what to say about that.  Nobody could make this stuff up.  The daily news is getting too absurd ...",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEW674ZOPUBPUMAES6X5TAMGVAMA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEW674ZOPUBPUMAES6X5TAMGVAMA"
"1073","B074J6F41V","Good bargain and on time!","wilton Kingsley",2018-06-16,1,"Format: Hardcover",5,"Awesome book!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFD3VC46JWF5KFKRFKBQZ7T56ASA/ref=cm_cr_arp_d_pdp?ie=UTF8","AFD3VC46JWF5KFKRFKBQZ7T56ASA"
"1074","B074J6F41V","Mellow read","gache",2018-06-16,1,"Format: Kindle Edition",1,"Comey is a self proclaimed victim of bullies in school. While hard to imagine he may well have been a gentle giant to his bully peers. But once he grew up and starts to share his experiences in the justice system, it's hard to see mesh the young with the older.Writing is at best ok and somewhat entertaining. I didn't finish the book. Moved on to something much more interesting; Fascism by Madelyn Albright",NA,"https://www.amazon.com/gp/profile/amzn1.account.AG35GACYFIIWIHXRLEMZCAWRV5LA/ref=cm_cr_arp_d_pdp?ie=UTF8","AG35GACYFIIWIHXRLEMZCAWRV5LA"
"1075","B074J6F41V","With time the world and our nation will normalize once again.","JoAnn Tryfon",2018-06-16,1,"Format: Hardcover",5,"Honest, compelling, a look into the tortuous decision making process which had to be made by the Director. His candid portrait of POTUS paints and confirms many previously conceived ideas of the autocrat..",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHJOU6UK7IUBGV4X67C4C6QCC6QA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHJOU6UK7IUBGV4X67C4C6QCC6QA"
"1076","B074J6F41V","Insightful and at times emotional, Comey brings forth sterling and honest testimony to this episode in American history.","Adolph Menjou",2018-06-16,1,"Format: Hardcover",5,"Well written and comprehensive, this book details Comey's path from childhood through education to his long tenure with the Justice Department and the FBI. He takes a very honest approach to examining his efforts, steps and sometimes missteps across his long career. From this book I see his approach to the Clinton and Russian investigations and, while I disagree in large part with several of his actions, I see how he arrived at those decisions and can find no reason to condemn him for what he thought was appropriate at the time. Hindsight is a harsh mistress, especially for Comey. You can say the ""what"" was incorrect, but the ""why"" was not.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFK6LLUKDEUB55E226OUU2FDPEGA/ref=cm_cr_arp_d_pdp?ie=UTF8","AFK6LLUKDEUB55E226OUU2FDPEGA"
